Calendar Year,ACARA SML ID,Location AGE ID,School AGE ID,Rolled School ID,School Name,Suburb,State,Postcode,School Sector,School Type,Special school,Campus Type,Latitude,Longitude,ABS Remoteness Area,ABS Remoteness Area Name,Meshblock,Statistical Area 1,Statistical Area 2,Statistical Area 2 Name,Statistical Area 3,Statistical Area 3 Name,Statistical Area 4,Statistical Area 4 Name,Local Government Area,Local Government Area Name,State Electoral Division,State Electoral Division Name,Commonwealth Electoral Division,Commonwealth Electoral Division Name,school_avg,school_sim_avg,diff
2024,40261,66584.0,26584.0,40261,Ngaanyatjarra Lands School,NGAANYATJARRA-GILES,WA,872,Government,Combined,0,School Head Campus,-25.28353,127.54272,4,Very Remote,50397190000,51103128317,511031283,Leinster - Leonora,51103,Goldfields,511,Western Australia - Outback (South),56620,Ngaanyatjarraku,54203,North West Central (Mining and Pastoral),511,O'Connor,278.9166666666667,301.0,-22.083333333333314
2024,40284,68662.0,28662.0,40284,Darkan Primary School,DARKAN,WA,6392,Government,Primary,0,School Single Entity,-33.33590866,116.7331568,2,Outer Regional,50333860000,50903125013,509031250,Wagin,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,58890,West Arthur,54701,Roe (Agricultural),511,O'Connor,410.8,413.0,-2.1999999999999886
2024,40289,57433.0,17433.0,40289,School Of Special Educational Needs: Medical And Mental Health,NEDLANDS,WA,6909,Government,Combined,1,School Head Campus,-31.969335,115.817205,0,Major Cities,50295800000,50301103521,503011035,Nedlands - Dalkeith - Crawley,50301,Cottesloe - Claremont,503,Perth - Inner,57080,Perth,54104,Nedlands (North Metropolitan),505,Curtin,,,
2024,40290,46862.0,6862.0,40290,Sir David Brand School,COOLBINIA,WA,6050,Government,Combined,1,School Single Entity,-31.91237449645996,115.85969543457031,0,Major Cities,50293930000,50502109730,505021097,Yokine - Coolbinia - Menora,50502,Stirling,505,Perth - North West,57910,Stirling,53902,Mount Lawley (East Metropolitan),513,Perth,,,
2024,40294,55947.0,15947.0,40294,Divine Mercy College,YANGEBUP,WA,6164,Independent,Combined,0,School Single Entity,-32.123981,115.82463,0,Major Cities,50072090000,50701116304,507011163,Yangebup,50701,Cockburn,507,Perth - South West,51820,Cockburn,51605,Cockburn (South Metropolitan),508,Fremantle,526.35,517.2,9.149999999999977
2024,40295,77115.0,129.0,49040,Rehoboth Christian College - Wilson Campus,WILSON,WA,6107,Independent,Primary,0,School Sub-Campus,-32.01355,115.9141,0,Major Cities,50052230000,50603112436,506031124,Bentley - Wilson - St James,50603,Canning,506,Perth - South East,51330,Canning,55405,Victoria Park (South Metropolitan),515,Tangney,,,
2024,40296,54037.0,14037.0,49064,Swan Christian College - Junior School Campus,MIDDLE SWAN,WA,6056,Independent,Primary,0,School Sub-Campus,-31.858097,116.012437,0,Major Cities,50308200000,50403106510,504031065,Middle Swan - Herne Hill,50403,Swan,504,Perth - North East,58050,Swan,55102,Swan Hills (East Metropolitan),509,Hasluck,,,
2024,40446,46664.0,6664.0,40446,Sevenoaks Senior College,CANNINGTON,WA,6107,Government,Secondary,0,School Single Entity,-32.01209,115.94261,0,Major Cities,50391711600,50603112751,506031127,Cannington - Queens Park,50603,Canning,506,Perth - South East,51330,Canning,51205,Cannington (South Metropolitan),514,Swan,,,
2024,40447,46674.0,6674.0,40447,North Lake Senior Campus,KARDINYA,WA,6163,Government,Secondary,0,School Single Entity,-32.07413,115.81394,0,Major Cities,50209220000,50704118203,507041182,Murdoch - Kardinya,50704,Melville,507,Perth - South West,55320,Melville,55905,Willagee (South Metropolitan),508,Fremantle,,,
2024,40448,46716.0,6716.0,40448,Cyril Jackson Senior Campus,BASSENDEAN,WA,6054,Government,Secondary,0,School Single Entity,-31.91352,115.9427,0,Major Cities,50019670000,50401104421,504011044,Bassendean - Eden Hill - Ashfield,50401,Bayswater - Bassendean,504,Perth - North East,50350,Bassendean,50502,Bassendean (East Metropolitan),513,Perth,,,
2024,40450,46725.0,6725.0,40450,Canning College,BENTLEY,WA,6102,Government,Secondary,0,School Single Entity,-32.01042787,115.8970779,0,Major Cities,50311901000,50603112412,506031124,Bentley - Wilson - St James,50603,Canning,506,Perth - South East,58510,Victoria Park,55405,Victoria Park (South Metropolitan),514,Swan,,,
2024,40599,52517.0,12517.0,40599,Western Australian College Of Agriculture - Narrogin,NARROGIN,WA,6312,Government,Secondary,0,School Single Entity,-32.973475,117.117756,2,Outer Regional,50230500000,50903124903,509031249,Narrogin,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,56460,Narrogin,54701,Roe (Agricultural),511,O'Connor,,,
2024,40600,52541.0,12541.0,40600,Western Australian College Of Agriculture - Denmark,DENMARK,WA,6333,Government,Secondary,0,School Single Entity,-34.95405,117.37456,2,Outer Regional,50090652000,50901122814,509011228,Denmark,50901,Albany,509,Western Australia - Wheat Belt,52730,Denmark,55706,Warren-Blackwood (South West),511,O'Connor,,,
2024,40601,52579.0,12579.0,40601,Western Australian College Of Agriculture - Cunderdin,CUNDERDIN,WA,6407,Government,Secondary,0,School Single Entity,-31.62698,117.23179,2,Outer Regional,50085880000,50902123711,509021237,Cunderdin,50902,Wheat Belt - North,509,Western Australia - Wheat Belt,52450,Cunderdin,51401,Central Wheatbelt (Agricultural),511,O'Connor,,,
2024,40613,53603.0,13603.0,40613,Wongutha Christian Aboriginal Parent-Directed School,GIBSON,WA,6448,Independent,Secondary,0,School Single Entity,-33.65843924,121.8733677,3,Remote,50392000400,51101127514,511011275,Esperance Surrounds,51101,Esperance,511,Western Australia - Outback (South),53290,Esperance,54701,Roe (Agricultural),511,O'Connor,,,
2024,40629,54923.0,14923.0,40629,Western Australian College Of Agriculture - Morawa,MORAWA,WA,6623,Government,Secondary,0,School Single Entity,-29.21436066,116.001998,3,Remote,50216470000,51104129108,511041291,Morawa,51104,Mid West,511,Western Australia - Outback (South),55670,Morawa,53701,Moore (Agricultural),506,Durack,,,
2024,40635,55247.0,15247.0,40635,North East Metropolitan Language Development Centre,DIANELLA,WA,6059,Government,Primary,1,School Head Campus,-31.8898,115.886,0,Major Cities,50391620600,50502130217,505021302,Dianella - South,50502,Stirling,505,Perth - North West,57910,Stirling,53902,Mount Lawley (East Metropolitan),513,Perth,,,
2024,40636,86343.0,15249.0,40636,West Coast Language Development Centre,PADBURY,WA,6025,Government,Primary,1,School Head Campus,-31.80498526,115.7605909,0,Major Cities,50155800000,50501108104,505011081,Padbury,50501,Joondalup,505,Perth - North West,54170,Joondalup,52404,Hillarys (North Metropolitan),510,Moore,,,
2024,40685,57269.0,17269.0,40685,OneSchool Global WA,WILLETTON,WA,6155,Independent,Combined,0,School Head Campus,-32.056546,115.901724,0,Major Cities,50056111000,50603113108,506031131,Willetton,50603,Canning,506,Perth - South East,51330,Canning,54505,Riverton (South Metropolitan),515,Tangney,513.45,494.9,18.550000000000068
2024,40686,57271.0,17271.0,40686,Kwoorabup Community School,DENMARK,WA,6333,Independent,Primary,0,School Single Entity,-34.97048,117.365606,2,Outer Regional,50091053000,50901122814,509011228,Denmark,50901,Albany,509,Western Australia - Wheat Belt,52730,Denmark,55706,Warren-Blackwood (South West),511,O'Connor,482.8,488.0,-5.199999999999989
2024,40693,57498.0,17498.0,40693,Western Australian College Of Agriculture - Harvey,WOKALUP,WA,6221,Government,Secondary,0,School Single Entity,-33.129635,115.913733,1,Inner Regional,50143651000,50102101417,501021014,Harvey,50102,Bunbury,501,Bunbury,53990,Harvey,54006,Murray-Wellington (South West),507,Forrest,,,
2024,40699,57555.0,17555.0,40699,Mindarie Senior College,MINDARIE,WA,6030,Government,Secondary,0,School Single Entity,-31.67751,115.70685,0,Major Cities,50326450000,50503110543,505031105,Mindarie - Quinns Rocks - Jindalee,50503,Wanneroo,505,Perth - North West,58760,Wanneroo,51004,Burns Beach (North Metropolitan),512,Pearce,,,
2024,40703,57672.0,17672.0,40703,John Tonkin College Education Support Centre,MANDURAH,WA,6210,Government,Secondary,1,School Single Entity,-32.51774,115.75531,0,Major Cities,50193890000,50201102321,502011023,Greenfields,50201,Mandurah,502,Mandurah,55110,Mandurah,53306,Mandurah (South West),503,Canning,,,
2024,40704,57673.0,17673.0,40704,Cyril Jackson Senior Campus Education Support Centre,BASSENDEAN,WA,6054,Government,Secondary,1,School Single Entity,-31.91352,115.9427,0,Major Cities,50019670000,50401104421,504011044,Bassendean - Eden Hill - Ashfield,50401,Bayswater - Bassendean,504,Perth - North East,50350,Bassendean,50502,Bassendean (East Metropolitan),513,Perth,,,
2024,40727,58182.0,18182.0,40727,Geraldton Senior High School,GERALDTON,WA,6530,Government,Secondary,0,School Single Entity,-28.77976937,114.61151839,2,Outer Regional,50123020000,51104128519,511041285,Geraldton,51104,Mid West,511,Western Australia - Outback (South),53800,Greater Geraldton,52301,Geraldton (Agricultural),506,Durack,495.0,484.3,10.699999999999989
2024,40763,64206.0,24206.0,40763,Eastern Goldfields College,KALGOORLIE,WA,6430,Government,Secondary,0,School Single Entity,-30.7502,121.4752,2,Outer Regional,50169501000,51103127913,511031279,Kalgoorlie,51103,Goldfields,511,Western Australia - Outback (South),54280,Kalgoorlie-Boulder,52803,Kalgoorlie (Mining and Pastoral),511,O'Connor,,,
2024,40814,67905.0,27905.0,40814,Holy Cross College,ELLENBROOK,WA,6069,Catholic,Combined,0,School Single Entity,-31.771347,115.974141,0,Major Cities,50391642500,50403130037,504031300,Ellenbrook,50403,Swan,504,Perth - North East,58050,Swan,55102,Swan Hills (East Metropolitan),509,Hasluck,486.7,500.55,-13.850000000000023
2024,40829,68230.0,28230.0,40829,Manea Senior College,BUNBURY,WA,6230,Government,Secondary,0,School Single Entity,-33.36571467,115.65423721,1,Inner Regional,50041220000,50102100803,501021008,College Grove - Carey Park,50102,Bunbury,501,Bunbury,51190,Bunbury,50906,Bunbury (South West),507,Forrest,,,
2024,40830,68231.0,28231.0,40830,Kingston Primary School,AUSTRALIND,WA,6233,Government,Primary,0,School Single Entity,-33.258956,115.745626,1,Inner Regional,50391720600,50102100514,501021005,Australind - Leschenault,50102,Bunbury,501,Bunbury,53990,Harvey,54006,Murray-Wellington (South West),507,Forrest,427.8,425.8,2.0
2024,40834,68580.0,28580.0,40834,Banksia Montessori School,DIANELLA,WA,6059,Independent,Primary,0,School Single Entity,-31.89253246,115.86852018,0,Major Cities,50273110000,50502130219,505021302,Dianella - South,50502,Stirling,505,Perth - North West,57910,Stirling,53902,Mount Lawley (East Metropolitan),513,Perth,,,
2024,40837,68624.0,28624.0,40837,Notre Dame Catholic Primary School,CLOVERDALE,WA,6105,Catholic,Primary,0,School Single Entity,-31.95636,115.94122,0,Major Cities,50030130000,50602130912,506021309,Cloverdale,50602,Belmont - Victoria Park,506,Perth - South East,50490,Belmont,50702,Belmont (East Metropolitan),514,Swan,469.0,468.4,0.6000000000000227
2024,40852,68992.0,28992.0,40852,Geraldton Flexible School,GERALDTON,WA,6530,Catholic,Secondary,1,School Head Campus,-28.769276943301,114.61891064542,2,Outer Regional,50123320000,51104128507,511041285,Geraldton,51104,Mid West,511,Western Australia - Outback (South),53800,Greater Geraldton,52301,Geraldton (Agricultural),506,Durack,446.8,452.8,-6.0
2024,40869,77113.0,79.0,48963,Mel Maria Catholic Primary School - Pater Noster Campus,MYAREE,WA,6154,Catholic,Primary,0,School Sub-Campus,-32.03869,115.81654,0,Major Cities,50208200000,50704118116,507041181,Melville,50704,Melville,507,Perth - South West,55320,Melville,50605,Bateman (South Metropolitan),515,Tangney,,,
2024,40871,77139.0,13635.0,48996,Ursula Frayne Catholic College - Primary Campus,VICTORIA PARK,WA,6100,Catholic,Primary,0,School Sub-Campus,-31.992455,115.902712,0,Major Cities,50312060000,50602111917,506021119,East Victoria Park - Carlisle,50602,Belmont - Victoria Park,506,Perth - South East,58510,Victoria Park,55405,Victoria Park (South Metropolitan),514,Swan,,,
2024,40876,77166.0,189.0,48931,St Joseph's School - Secondary Campus,NORTHAM,WA,6401,Catholic,Secondary,0,School Sub-Campus,-31.655451,116.67271,1,Inner Regional,50234370000,50902124315,509021243,Northam,50902,Wheat Belt - North,509,Western Australia - Wheat Belt,56730,Northam,51401,Central Wheatbelt (Agricultural),506,Durack,,,
2024,40881,77206.0,13657.0,49096,John Septimus Roe Anglican Community School - John Septimus Roe (Beechboro),BEECHBORO,WA,6063,Independent,Primary,0,School Sub-Campus,-31.870942,115.922699,0,Major Cities,50391960300,50403105702,504031057,Beechboro,50403,Swan,504,Perth - North East,58050,Swan,53802,Morley (East Metropolitan),504,Cowan,,,
2024,40906,77330.0,16457.0,48961,St Mary's College - Primary Campus,BROOME,WA,6725,Catholic,Primary,0,School Sub-Campus,-17.95889,122.2207,3,Remote,50037270000,51001126231,510011262,Broome,51001,Kimberley,510,Western Australia - Outback (North),50980,Broome,52903,Kimberley (Mining and Pastoral),506,Durack,,,
2024,40910,77360.0,4233.0,49066,St Stephen's School - Carramar Campus,TAPPING,WA,6065,Independent,Combined,0,School Sub-Campus,-31.71725,115.7883,0,Major Cities,50321190000,50503110724,505031107,Tapping - Ashby - Sinagra,50503,Wanneroo,505,Perth - North West,58760,Wanneroo,55504,Wanneroo (North Metropolitan),512,Pearce,,,
2024,40911,77361.0,4264.0,49070,Rawa Community School - Kunawarritji Campus,NEWMAN,WA,6753,Independent,Combined,0,School Sub-Campus,-22.0445,123.11913,4,Very Remote,50396970000,51002126711,510021267,East Pilbara,51002,East Pilbara,510,Western Australia - Outback (North),53220,East Pilbara,54403,Pilbara (Mining and Pastoral),506,Durack,,,
2024,40925,77459.0,18114.0,48971,Newman College - Marian Campus,FLOREAT,WA,6014,Independent,Primary,0,School Sub-Campus,-31.933604,115.793697,0,Major Cities,50048610000,50301103305,503011033,Floreat,50301,Cottesloe - Claremont,503,Perth - Inner,51310,Cambridge,51504,Churchlands (North Metropolitan),505,Curtin,,,
2024,40927,77466.0,17269.0,40685,OneSchool Global WA - Dalwallinu Campus,DALWALLINU,WA,6609,Independent,Combined,0,School Sub-Campus,-30.2831679420164,116.655001108127,3,Remote,50086540000,50902124113,509021241,Moora,50902,Wheat Belt - North,509,Western Australia - Wheat Belt,52520,Dalwallinu,53701,Moore (Agricultural),506,Durack,,,
2024,40928,77467.0,17269.0,40685,OneSchool Global WA - Gnowangerup Campus,GNOWANGERUP,WA,6335,Independent,Combined,0,School Sub-Campus,-33.9345,118.0055,3,Remote,50126533000,50901122909,509011229,Gnowangerup,50901,Albany,509,Western Australia - Wheat Belt,53640,Gnowangerup,54701,Roe (Agricultural),511,O'Connor,,,
2024,40929,77468.0,17269.0,40685,OneSchool Global WA - Cunderdin Campus,NORTHAM,WA,6401,Independent,Combined,0,School Sub-Campus,-31.6561059825323,116.690052855448,1,Inner Regional,50234650000,50902124306,509021243,Northam,50902,Wheat Belt - North,509,Western Australia - Wheat Belt,56730,Northam,51401,Central Wheatbelt (Agricultural),506,Durack,,,
2024,40941,77504.0,167.0,49022,St Hilda's Anglican School for Girls - Chidley Campus,MOSMAN PARK,WA,6012,Independent,Primary,0,School Sub-Campus,-32.02164,115.773184,0,Major Cities,50217600000,50301103409,503011034,Mosman Park - Peppermint Grove,50301,Cottesloe - Claremont,503,Perth - Inner,55740,Mosman Park,51804,Cottesloe (North Metropolitan),505,Curtin,,,
2024,40951,77535.0,26753.0,40967,Alta-1 College - Malaga Campus,MALAGA,WA,6090,Independent,Secondary,1,School Sub-Campus,-31.846452,115.878377,0,Major Cities,50302562000,50403106301,504031063,Malaga,50403,Swan,504,Perth - North East,58050,Swan,55802,West Swan (East Metropolitan),504,Cowan,,,
2024,40952,86844.0,26753.0,40967,Alta-1 College - Huntingdale Campus,HUNTINGDALE,WA,6110,Independent,Secondary,1,School Sub-Campus,-32.078317,115.958024,0,Major Cities,50130530000,50604113515,506041135,Huntingdale - Southern River,50604,Gosnells,506,Perth - South East,53780,Gosnells,55005,Southern River (South Metropolitan),502,Burt,,,
2024,40967,77562.0,26753.0,40967,Alta-1 College - Joondalup Campus,JOONDALUP,WA,6027,Independent,Secondary,1,School Head Campus,-31.751271,115.764906,0,Major Cities,50149701000,50501107716,505011077,Joondalup - Edgewater,50501,Joondalup,505,Perth - North West,54170,Joondalup,52604,Joondalup (North Metropolitan),510,Moore,491.0,515.5,-24.5
2024,40978,77579.0,26753.0,40967,Alta-1 College - Mullaloo Campus,MULLALOO,WA,6027,Independent,Secondary,1,School Sub-Campus,-31.778835,115.745508,0,Major Cities,50151412000,50501107922,505011079,Mullaloo - Kallaroo,50501,Joondalup,505,Perth - North West,54170,Joondalup,52404,Hillarys (North Metropolitan),510,Moore,,,
2024,43888,58012.0,18012.0,43888,St John Paul II Catholic Primary School,BANKSIA GROVE,WA,6031,Catholic,Primary,0,School Single Entity,-31.69606,115.80548,0,Major Cities,50392053000,50503110034,505031100,Carramar,50503,Wanneroo,505,Perth - North West,58760,Wanneroo,55504,Wanneroo (North Metropolitan),512,Pearce,436.3,440.3,-4.0
2024,48116,52535.0,12535.0,48116,Albany Senior High School,ALBANY,WA,6330,Government,Secondary,0,School Single Entity,-35.01976406,117.891925,2,Outer Regional,50000810000,50901122539,509011225,Albany,50901,Albany,509,Western Australia - Wheat Belt,50080,Albany,50106,Albany (South West),511,O'Connor,538.4,537.6,0.7999999999999545
2024,48117,52336.0,12336.0,48117,Applecross Senior High School,ARDROSS,WA,6153,Government,Secondary,0,School Single Entity,-32.02877,115.83382,0,Major Cities,50199920000,50704117518,507041175,Applecross - Ardross,50704,Melville,507,Perth - South West,55320,Melville,50605,Bateman (South Metropolitan),515,Tangney,603.8,593.3,10.5
2024,48118,46659.0,6659.0,48118,Armadale Senior High School,ARMADALE,WA,6112,Government,Secondary,0,School Single Entity,-32.1616299,116.0163477,0,Major Cities,50006800000,50601111045,506011110,Armadale - Wungong - Brookdale,50601,Armadale,506,Perth - South East,50210,Armadale,50202,Armadale (East Metropolitan),502,Burt,490.4,507.0,-16.600000000000023
2024,48119,48907.0,8907.0,48119,Balcatta Senior High School,BALCATTA,WA,6021,Government,Secondary,0,School Single Entity,-31.87572953,115.8126093,0,Major Cities,50272660000,50502108430,505021084,Balcatta - Hamersley,50502,Stirling,505,Perth - North West,57910,Stirling,50304,Balcatta (North Metropolitan),504,Cowan,562.4,559.9,2.5
2024,48120,46722.0,6722.0,48120,Belmont City College,BELMONT,WA,6104,Government,Secondary,0,School Single Entity,-31.9557464,115.9362663,0,Major Cities,50031590000,50602111803,506021118,Belmont - Ascot - Redcliffe,50602,Belmont - Victoria Park,506,Perth - South East,50490,Belmont,50702,Belmont (East Metropolitan),514,Swan,528.1,525.8,2.300000000000068
2024,48121,52463.0,12463.0,48121,Bridgetown High School,BRIDGETOWN,WA,6255,Government,Secondary,0,School Single Entity,-33.96079,116.14142,1,Inner Regional,50033790000,50103101710,501031017,Bridgetown - Boyup Brook,50103,Manjimup,501,Bunbury,50840,Bridgetown-Greenbushes,55706,Warren-Blackwood (South West),511,O'Connor,542.8,543.0,-0.20000000000004547
2024,48122,52446.0,12446.0,48122,Bunbury Senior High School,BUNBURY,WA,6230,Government,Secondary,0,School Single Entity,-33.32722222,115.6327778,1,Inner Regional,50039220000,50102125301,501021253,South Bunbury - Bunbury,50102,Bunbury,501,Bunbury,51190,Bunbury,50906,Bunbury (South West),507,Forrest,548.5,537.7,10.799999999999955
2024,48123,52500.0,12500.0,48123,Busselton Senior High School,BUSSELTON,WA,6280,Government,Secondary,0,School Single Entity,-33.656981,115.325541,1,Inner Regional,50046080000,50101129436,501011294,Busselton - West,50101,Augusta - Margaret River - Busselton,501,Bunbury,51260,Busselton,55306,Vasse (South West),507,Forrest,532.2,521.0,11.200000000000045
2024,48124,46684.0,6684.0,48124,Carnarvon Community College,EAST CARNARVON,WA,6701,Government,Combined,0,School Single Entity,-24.866728,113.677542,4,Very Remote,50064920000,51102127613,511021276,Carnarvon,51102,Gascoyne,511,Western Australia - Outback (South),51540,Carnarvon,54203,North West Central (Mining and Pastoral),506,Durack,390.0,385.7,4.300000000000011
2024,48125,48927.0,8927.0,48125,Churchlands Senior High School,CHURCHLANDS,WA,6018,Government,Secondary,0,School Single Entity,-31.91711398,115.7892596,0,Major Cities,50292712000,50502109624,505021096,Wembley Downs - Churchlands - Woodlands,50502,Stirling,505,Perth - North West,57910,Stirling,51504,Churchlands (North Metropolitan),505,Curtin,588.2,589.1,-0.8999999999999773
2024,48126,46670.0,6670.0,48126,Collie Senior High School,COLLIE,WA,6225,Government,Secondary,0,School Single Entity,-33.36293067,116.1569321,1,Inner Regional,50391447900,50102100918,501021009,Collie,50102,Bunbury,501,Bunbury,51890,Collie,51706,Collie-Preston (South West),511,O'Connor,507.2,508.5,-1.3000000000000114
2024,48127,52682.0,12682.0,48127,Eastern Hills Senior High School,MOUNT HELENA,WA,6082,Government,Secondary,0,School Single Entity,-31.87515,116.21982,0,Major Cities,50225540000,50402105318,504021053,Mundaring,50402,Mundaring,504,Perth - North East,56090,Mundaring,55102,Swan Hills (East Metropolitan),509,Hasluck,519.8,539.3,-19.5
2024,48128,52618.0,12618.0,48128,Esperance Senior High School,ESPERANCE,WA,6450,Government,Secondary,0,School Single Entity,-33.86039,121.870968,3,Remote,50391888900,51101127424,511011274,Esperance,51101,Esperance,511,Western Australia - Outback (South),53290,Esperance,54701,Roe (Agricultural),511,O'Connor,528.4,521.6,6.7999999999999545
2024,48129,46723.0,6723.0,48129,Governor Stirling Senior High School,WOODBRIDGE,WA,6056,Government,Secondary,0,School Single Entity,-31.890277,115.990297,0,Major Cities,50305520000,50403106619,504031066,Midland - Guildford,50403,Swan,504,Perth - North East,58050,Swan,53502,Midland (East Metropolitan),509,Hasluck,525.9,523.4,2.5
